TEAM_NAME,TEAM_ID,TOTAL_TEAM_SCORE
GSW,1,85.10087095120355
POR,2,77.22528492784927
DEN,3,66.69289636052375
WAS,4,72.563368779047
DAL,5,69.96559522091194
MIL,6,73.42037428265223
PHX,7,73.10777751310908
NYK,8,66.01210684639145
BOS,9,80.30305223970615
NOP,10,64.01541799635001
CHI,11,73.89649615338385
ATL,12,74.17567747459759
SAC,13,79.2718914478331
CLE,14,74.99837008852089
PHI,15,71.08515443175374
BKN,16,74.28787448526155
CHA,17,72.33178577833694
UTA,18,75.41477963510411
MIN,19,73.8313778938815
SAS,20,73.60057038007066
LAC,21,77.63737654160774
IND,22,74.11715550732261
DET,23,73.04395749103556
MEM,24,76.88531242671819
MIA,25,79.33189962393347
TOR,26,73.80696635550319
LAL,27,82.80526052679225
HOU,28,67.11216297865707
OKC,29,68.15407604998519
ORL,30,67.97746133386337
